household;year;Aspiration_adaptation;Strategy_order;time_of_run;optimism;b_no;b_constant;remember_t3;remember_t2;remember_t1;income_outcome_t1start;income_outcome_t1end;income_outcome_t2;income_outcome_t3;leisure_outcome_t1start;leisure_outcome_t1end;leisure_outcome_t2;leisure_outcome_t3;food_outcome_t1start;food_outcome_t1end;food_outcome_t2;food_outcome_t3;satisficed;savings;value_of_consumed-products;food_purchases;costs_of_production;earnings_from_sales;maizecost;vegetablecost;coffeecost;supplementaryfeedcost;cowcost;maizesales;vegetablesales;coffeesales;buttersales;oxensales;bullsales;cowsales;test_maizecost;test_vegetablecost;test_coffeecost;test_feedcost;test_cowcost;test_maizesales;test_vegetablesales;test_coffeesales;test_buttersales;test_oxensales;test_bullsales;test_cowsales;income_threshold_mean;income_threshold_t1start;income_threshold_t1end;income_threshold_t2;income_threshold_t3;leisure_threshold_mean;leisure_threshold_t1start;leisure_threshold_t1end;leisure_threshold_t2;leisure_threshold_t3;food_threshold_mean;food_threshold_t1start;food_threshold_t1end;food_threshold_t2;food_threshold_t3;incomegap;leisuregap;foodgap;relativeimportanceincome;relativeimportanceleisure;relativeimportancefood;ew_income;ew_leisure;ew_food;chosen_strategy;income_expectation;leisure_expectation;food_expectation;maizeland;vegetableland;coffeeland;privatepasture;fallowland;farmland;unfertilisedland;moderatefertilisedland;highlyfertilisedland;veryhighlyfertilisedland;maizefertilisedland;vegetablefertilisedland;coffeefertilisedland;herd;on_supplementary_feed;adopted_feed
(household 0) ;0 ;no-experience ;defined-by-similarity ;04:19:10.109 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;25128 ;25128 ;25128 ;25128 ;-9.625 ;-9.625 ;-9.625 ;-9.625 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;25128 ;0 ;0 ;98021.28130740173 ;98021.28130740173 ;98021.28130740173 ;98021.28130740173 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;7.589455755872454 ;7.589455755872454 ;7.589455755872454 ;7.589455755872454 ;0 ;0 ;0 ;32.62411347517731 ;28.368794326241137 ;39.00709219858156 ;0 ;0 ;0 ;0 ;25128 ;12.017765239563156 ;20.94309262166405 ;3 ;0 ;0 ;0 ;0 ;3 ;0.21026020026361375 ;0 ;0 ;0 ;0 ;0 ;0 ;11 ;0 ;0
(household 1) ;0 ;no-experience ;defined-by-similarity ;04:19:10.110 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;11694.948400903428 ;11694.948400903428 ;11694.948400903428 ;11694.948400903428 ;9 ;9 ;9 ;9 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;11694.948400903428 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;272842.448620514 ;272842.448620514 ;272842.448620514 ;272842.448620514 ;0 ;10.827164373396577 ;10.827164373396577 ;10.827164373396577 ;10.827164373396577 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;51.03448275862069 ;28.27586206896552 ;20.689655172413794 ;0 ;0 ;0 ;0 ;11694.948400903428 ;11.576928567125977 ;8.37723704866562 ;3 ;0 ;0 ;0 ;0 ;3 ;0.602877157768807 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;0 ;0
(household 2) ;0 ;no-experience ;defined-by-similarity ;04:19:10.110 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;14062.079625295471 ;14062.079625295471 ;14062.079625295471 ;14062.079625295471 ;-7.125 ;-7.125 ;-7.125 ;-7.125 ;13.6240001916885 ;13.6240001916885 ;13.6240001916885 ;13.6240001916885 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;5686.0796252954715 ;0 ;0 ;0 ;0 ;8376 ;0 ;0 ;356979.66756072384 ;356979.66756072384 ;356979.66756072384 ;356979.66756072384 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;34.39441822704993 ;34.39441822704993 ;34.39441822704993 ;34.39441822704993 ;0 ;0 ;0 ;37.15415019762846 ;39.52569169960474 ;23.3201581027668 ;0 ;0 ;0 ;0 ;14062.079625295471 ;5.242954838262857 ;11.518700941915228 ;1 ;0 ;0 ;0 ;0 ;1 ;0.4465250976 ;0 ;0 ;0 ;0 ;0 ;0 ;7 ;0 ;0
(household 3) ;0 ;no-experience ;defined-by-similarity ;04:19:10.110 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;56876.015626643275 ;56876.015626643275 ;56876.015626643275 ;56876.015626643275 ;7.65625 ;7.65625 ;7.65625 ;7.65625 ;8 ;8 ;8 ;8 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;56876.015626643275 ;0 ;0 ;0 ;0 ;0 ;0 ;117009.47638146106 ;117009.47638146106 ;117009.47638146106 ;117009.47638146106 ;0 ;8.83261561577913 ;8.83261561577913 ;8.83261561577913 ;8.83261561577913 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;41.42857142857143 ;5.714285714285714 ;52.85714285714286 ;0 ;0 ;0 ;0 ;56876.015626643275 ;12.485191185276745 ;6.282927786499215 ;0 ;1 ;0 ;0 ;0 ;1 ;0.12885014681575677 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0
(household 4) ;0 ;no-experience ;defined-by-similarity ;04:19:10.110 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;44080.759893114024 ;44080.759893114024 ;44080.759893114024 ;44080.759893114024 ;10.625 ;10.625 ;10.625 ;10.625 ;65.7509981989862 ;65.7509981989862 ;65.7509981989862 ;65.7509981989862 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;35704.759893114024 ;0 ;0 ;0 ;0 ;8376 ;0 ;0 ;260857.67810615792 ;260857.67810615792 ;260857.67810615792 ;260857.67810615792 ;0 ;12.223273792021326 ;12.223273792021326 ;12.223273792021326 ;12.223273792021326 ;0 ;26.870234291711057 ;26.870234291711057 ;26.870234291711057 ;26.870234291711057 ;0 ;0 ;0 ;40.32258064516129 ;48.38709677419355 ;11.29032258064516 ;0 ;0 ;0 ;0 ;44080.759893114024 ;9.701524980525715 ;10.964324960753531 ;3 ;0 ;0 ;0 ;0 ;3 ;1.5395431152000003 ;0 ;0 ;0 ;0 ;0 ;0 ;15 ;0 ;0
(household 5) ;0 ;no-experience ;defined-by-similarity ;04:19:10.111 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;0 ;0 ;0 ;0 ;8.75 ;8.75 ;8.75 ;8.75 ;2.65799999237061 ;2.65799999237061 ;2.65799999237061 ;2.65799999237061 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;31034.00252632571 ;31034.00252632571 ;31034.00252632571 ;31034.00252632571 ;0 ;10.827991959810593 ;10.827991959810593 ;10.827991959810593 ;10.827991959810593 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;26.666666666666668 ;33.33333333333333 ;40 ;0 ;0 ;0 ;0 ;0 ;12.409664469897143 ;12.56585557299843 ;2 ;0 ;0 ;0 ;0 ;2 ;0.1489416992 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0
(household 6) ;0 ;no-experience ;defined-by-similarity ;04:19:10.111 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;0 ;0 ;0 ;0 ;11 ;11 ;11 ;11 ;8.45800012350082 ;8.45800012350082 ;8.45800012350082 ;8.45800012350082 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;9001.856189328046 ;9001.856189328046 ;9001.856189328046 ;9001.856189328046 ;0 ;10.143205059022245 ;10.143205059022245 ;10.143205059022245 ;10.143205059022245 ;0 ;23.218233206439862 ;23.218233206439862 ;23.218233206439862 ;23.218233206439862 ;0 ;0 ;0 ;46 ;12 ;42 ;0 ;0 ;0 ;0 ;0 ;19.077553204850638 ;11.518700941915228 ;1 ;0 ;0 ;0 ;1 ;2 ;0.116810787249231 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0
(household 7) ;0 ;no-experience ;defined-by-similarity ;04:19:10.111 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;0 ;0 ;0 ;0 ;-0.125 ;-0.125 ;-0.125 ;-0.125 ;15 ;15 ;15 ;15 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;17328.69386402829 ;17328.69386402829 ;17328.69386402829 ;17328.69386402829 ;0 ;2.948255555450257 ;2.948255555450257 ;2.948255555450257 ;2.948255555450257 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;19.473684210526315 ;52.63157894736842 ;27.89473684210526 ;0 ;0 ;0 ;0 ;0 ;6.022468041325714 ;11.518700941915228 ;1 ;0 ;0 ;0 ;0 ;1 ;0.1489416992 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
(household 8) ;0 ;no-experience ;defined-by-similarity ;04:19:10.111 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;20184.480408094383 ;20184.480408094383 ;20184.480408094383 ;20184.480408094383 ;19 ;19 ;19 ;19 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;20184.480408094383 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;268342.68486781686 ;268342.68486781686 ;268342.68486781686 ;268342.68486781686 ;0 ;19.873155275441373 ;19.873155275441373 ;19.873155275441373 ;19.873155275441373 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;44.375 ;16.25 ;39.375 ;0 ;0 ;0 ;0 ;20184.480408094383 ;17.333366479919068 ;20.388716640502356 ;1 ;0 ;0 ;0 ;0 ;1 ;1.16269910694539 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0
(household 9) ;0 ;no-experience ;defined-by-similarity ;04:19:10.111 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;232.97931319989857 ;232.97931319989857 ;232.97931319989857 ;232.97931319989857 ;-5.25 ;-5.25 ;-5.25 ;-5.25 ;17.4599996209145 ;17.4599996209145 ;17.4599996209145 ;17.4599996209145 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;232.97931319989857 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;41135.28206564888 ;41135.28206564888 ;41135.28206564888 ;41135.28206564888 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;21.513338589380233 ;21.513338589380233 ;21.513338589380233 ;21.513338589380233 ;0 ;0 ;0 ;21.341463414634145 ;38.41463414634146 ;40.243902439024396 ;0 ;0 ;0 ;0 ;232.97931319989857 ;5.945656733150945 ;5.2357731554160125 ;2 ;0 ;0 ;1 ;0 ;3 ;0.174669551889231 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0
